ProjID,ProjectStatus,ProjectTitle,ProjectRDC,ProjectYearStarted,ProjectYearEnded,ProjectPI,OutputTitle,OutputBiblio,OutputType,OutputStatus,OutputVenue,OutputYear,OutputMonth,OutputVolume,OutputNumber,OutputPages
306,completed,,boston,,,william r kerr,the resurgence of trumponomics implications for the future of esg investments in a changing political landscape,,JO,PB,JOURNAL OF SOCIAL SCIENCE RESEARCH,2007,2,21,,1-4
308,completed,,boston,,,antoinette schoar,from the top down does corruption affect performance,,JO,PB,Journal of Financial Crime,2007,6,27,4,1161-1172
317,completed,Efficiency Implications of Corporate Diversification: Evidence from Micro Data,triangle,2003,2005,ekaterina e emm,csrcz a dataset about corporate social responsibility in czech republic,,PR,PB,SGEM International Multidisciplinary Scientific Conferences on SOCIAL SCIENCES and ARTS Proceedings,2005,9,,,
335,completed,"An Economic Analysis of Availability, Choice and Valuation of School Quality Using the 1990 Decennial Census Long Form Data",berkeley,2003,2006,fernando v ferreira,comment the essential role of policy evaluation for the 2020 census disclosure avoidance system,,JO,PB,Harvard Data Science Review,2006,1,,Special Issue 2,
335,completed,"An Economic Analysis of Availability, Choice and Valuation of School Quality Using the 1990 Decennial Census Long Form Data",berkeley,2003,2006,fernando v ferreira,the impact of de identification on single year of age counts in the u s census,,OT,PB,Guide to the Census,2006,2,,,29-39
347,completed,,washington,,,jhih shyang shih,a tale of two mechanisms incentivizing investments in security games,,PR,PB,"2014 52nd Annual Allerton Conference on Communication, Control, and Computing (Allerton)",2008,9,,,1102-1109
348,completed,The Health Care Safety Net and Employer Health Insurance Provision,chicago,2004,2006,anthony t lo sasso,effects of the affordable care act dependent coverage mandate on health insurance coverage for individuals in same sex couples,,JO,PB,Demography,2006,9,58,5,1897-1929
355,completed,Endogenous Technical Change and Energy Prices,chicago,2006,2010,joshua linn,price and capacity competition in balancing markets with energy storage,,JO,PB,Energy Systems,2010,2,8,1,169-197
355,completed,Endogenous Technical Change and Energy Prices,chicago,2006,2010,joshua linn,the growing us mexico natural gas trade and its regional economic impacts in mexico,,JO,PB,SSRN Electronic Journal,2010,,,,
361,completed,,chicago,,,yukako ono,the network of inter regional direct investment stocks across europe,,JO,PB,Advances in Complex Systems,2011,3,10,01,29-51
369,completed,Capital Reallocation,chicago,2003,2008,andrea l eisfeldt,a statistical field perspective on capital allocation and accumulation individual dynamics,,JO,PB,Journal of Economic Interaction and Coordination,2008,7,16,4,817-908
378,completed,Economic Integration and Labor Demand Elasticities,washington,2004,2007,mine z senses,the future of work and capital analyzing agi in a ces production model,,JO,PB,Applied Mathematical Sciences,2007,,19,2,47-58
381,completed,The impact of banking market structure on the life-cycle dynamics of non-financial industries,baruch,2006,2010,nicola cetorelli,the coevolution of banks and corporate securities markets the financing of belgium s industrial take off in the 1830s,,BO,PB,Bank-Industry versus Stock Market-Industry Relationships,2010,1,,,16-37
382,completed,Understanding the Behavior of Job Flows over the Business Cycle,washington,2004,2006,john a figura,covert cycle stealing in a single fifo server,,JO,PB,ACM Transactions on Modeling and Performance Evaluation of Computing Systems,2006,6,6,2,1-33
390,completed,The Anatomy of Census 2000,boston,2003,2003,norman h nie,a moment of perfect clarity i the parallel census technique,,JO,PB,ACM SIGACT News,2003,9,31,3,37-42
390,completed,The Anatomy of Census 2000,boston,2003,2003,norman h nie,2mass extended sources in the zone of avoidance,,JO,PB,The Astronomical Journal,2003,7,120,1,298-313
392,completed,An Empirical Assessment of the Value of Electronic Integration in the Manufacturing Sector,michigan,2006,2010,nigel melville,regional economic integration via detection of circular flow in international value added network,,JO,PB,PLOS ONE,2010,8,16,8,e0255698
401,completed,The Financial Assimilation of Immigrants,chicago,2006,2011,anna paulson,rock rap or reggaeton assessing mexican immigrants cultural assimilation using facebook data,,PR,PB,The World Wide Web Conference,2011,5,,,3258-3264
401,completed,The Financial Assimilation of Immigrants,chicago,2006,2011,anna paulson,intergenerational transmission of culture among immigrants gender gap in education among first and second generations,,JO,PB,Review of Economics of the Household,2011,4,14,3,715-744
420,completed,The Role of Information Technology in Production,ucla,2004,2005,kevin caves,designing user centered simulations of leadership situations for cave automatic virtual environments development and usability study,,BO,PB,Communications in Computer and Information Science,2005,,,,324-331
422,completed,,chicago,,,allan g collard wexler,the structure of graphs with a vital linkage of order 2,,JO,PB,Journal of Graph Theory,2007,9,71,2,176-181
429,completed,,berkeley,,,andrew k hildreth,job posting enriched knowledge graph for skills based matching,,PR,PB,Proceedings of the 12th Hellenic Conference on Artificial Intelligence,2008,9,,,1-7
429,completed,,berkeley,,,andrew k hildreth,convergence aware clustered federated graph learning framework for collaborative inter company labor market forecasting,,PR,PB,2023 26th International Conference on Computer Supported Cooperative Work in Design (CSCWD),2008,5,,,438-443
434,completed,The Behavior of Small and Large Firms over the Business Cycle,chicago,2005,2010,patrick j kehoe,implications of environmental uncertainty for business it alignment a comparative study of smes and large organizations,,JO,PB,Journal of Enterprise Information Management,2010,2,22,1/2,197-211
447,completed,The Survival and Operation of Entrepreneurial Ventures,chicago,2004,2008,austan goolsbee,why not now intended timing in entrepreneurial intentions,,JO,PB,International Entrepreneurship and Management Journal,2008,5,15,4,1221-1246
461,completed,The Going Public Decision and the Product Market,boston,2006,2013,shan n he,roles of retailers in the peer to peer electricity market a single retailer perspective,,JO,PB,iScience,2013,11,24,11,103278
461,completed,The Going Public Decision and the Product Market,boston,2006,2013,shan n he,monopoly market with externality an analysis with statistical physics and agent based computational economics,,BO,PB,Complex Systems in Finance and Econometrics,2013,,,,1-21
463,completed,"Migration in the Arctic: Subsistence, Jobs, and Well-being in Urban and Rural Communities",ucla,2005,2010,e lance howe,defining urban and rural regions by multifractal spectrums of urbanization,,JO,PB,Fractals,2010,3,24,01,1650004
467,completed,,triangle,,,t kirk k white,the hawking unruh temperature and damping in a linear focusing channel,,BO,PB,SpringerBriefs in Physics,2008,,,,59-62
467,completed,,triangle,,,t kirk k white,the weizsacker williams approximation to trident production in electron photon collisions,,JO,PB,Physical Review D,2008,2,111,3,
482,completed,Migrant Life History Project Analysis and Report,baruch,2008,2009,maritsa v poros,analysis of social aspects of migrant labourers living with hiv aids using fuzzy theory and neutrosophic cognitive maps with special reference to rural tamil nadu in india,,JO,PB,Scientific Research Journal,2009,12,VI,XII,
482,completed,Migrant Life History Project Analysis and Report,baruch,2008,2009,maritsa v poros,snapshot models of undocumented immigration,,JO,PB,Risk Analysis,2009,12,41,9,1643-1661
482,completed,Migrant Life History Project Analysis and Report,baruch,2008,2009,maritsa v poros,partner support during pregnancy mediates social inequalities in maternal postpartum depression for non migrant and first generation migrant women,,JO,PB,Journal of Clinical Nursing,2009,3,32,7-8,1316-1326
487,completed,,boston,,,stacey h chen,education policy and intergenerational educational persistence evidence from rural benin,,JO,PB,The B.E. Journal of Economic Analysis &amp; Policy,2011,10,16,4,
487,completed,,boston,,,stacey h chen,will the last be the first school closures and educational outcomes,,JO,PB,European Economic Review,2011,5,154,,104405
490,completed,"Industrial Structure, Agglomeration,and Productivity",triangle,2005,2008,edward feser,stochastic modeling of particle structures in spray fluidized bed agglomeration using methods from machine learning,,JO,PB,Drying Technology,2008,11,31,15,1764-1771
490,completed,"Industrial Structure, Agglomeration,and Productivity",triangle,2005,2008,edward feser,production externalities and dispersion process in a multi region economy,,BO,PB,Comparative Institutional Analysis,2008,11,,,
491,completed,Regional Purchase Coefficients and U.S. Interegional Trade,washington,2006,2007,richard chard,warehouse problem with bounds fixed costs and complementarity constraints,,JO,PB,European Journal of Operational Research,2007,6,40,3,337-343
491,completed,Regional Purchase Coefficients and U.S. Interegional Trade,washington,2006,2007,richard chard,characteristics of real futures trading networks,,JO,PB,Physica A: Statistical Mechanics and its Applications,2007,1,390,2,398-409
493,completed,,triangle,,,rebecca e zarutskie,social capital at venture capital firms and their financial performance evidence from china,,JO,PB,E3S Web of Conferences,2009,,253,,03001
493,completed,,triangle,,,rebecca e zarutskie,the perverse incentive for insurance instruments that are derivatives solving the jackpot problem with a clawback lien for default insurance notes,,JO,PB,Journal of Risk and Insurance,2009,9,80,2,373-400
501,completed,,ucla,,,john mark ellis,decarbonization patterns of residential building operations in china and india,,JO,PB,Applied Energy,2008,12,352,,122003
501,completed,,ucla,,,john mark ellis,high resolution synthetic residential energy use profiles for the united states,,JO,PB,Scientific Data,2008,2,10,1,
503,completed,Using Plant-Level Data to Assess the Motives for Aggregating Line of Business Information,chicago,2005,2008,daniel a bens,applying data synthesis for longitudinal business data across three countries,,JO,PB,Statistics in Transition New Series,2008,8,21,4,212-236
509,completed,The Impact of Difference in Enumeration Procedures and Changes in Complex Survey Questions:  Census/ACS Disability Questions,cornell,2006,2009,andrew j houtenville,implementation of automata theory to improve the learning disability,,BO,PB,Studies in Computational Intelligence,2009,,,,3-19
514,completed,Plant Size and Plant Function,washington,2006,2010,john j stevens,offset free model predictive control stability under plant model mismatch,,JO,PB,International Journal of Adaptive Control and Signal Processing,2010,11,28,3-5,444-463
514,completed,Plant Size and Plant Function,washington,2006,2010,john j stevens,distance maps and plant development 1 uniform production and proportional destruction,,RE,PB,,2010,10,,,
535,completed,Job Availability and Employment,michigan,2007,2012,patrick m kline,total error and variability measures for the quarterly workforce indicators and lehd origin destination employment statistics in onthemap,,JO,PB,Journal of Survey Statistics and Methodology,2012,11,9,5,1146-1182
537,completed,,triangle,,,robert mcmillan,dynamic urban planning an agent based model coupling mobility mode and housing choice use case kendall square,,BO,PB,Lecture Notes in Networks and Systems,2011,,,,940-951
539,completed,The Labor Market for Older Workers,triangle,2006,2010,david m blau,quantifying the invisible labor in crowd work,,JO,PB,Proceedings of the ACM on Human-Computer Interaction,2010,10,5,CSCW2,1-26
544,completed,,boston,,,j bradford jensen,spatiotemporal characteristics of agricultural food import shocks,,JO,PB,Annals of Operations Research,2010,7,,,
556,completed,,michigan,,,martha j bailey,utilizing a mathematical model to estimate abortion decline scenario,,DA,PB,PsycTESTS Dataset,2009,,,,
560,completed,,triangle,,,jerome p reiter,fully synthetic data for complex surveys,,JO,PB,Journal of Survey Statistics and Methodology,2007,5,10,3,618-641
560,completed,,triangle,,,jerome p reiter,dirichlet process mixture models for modeling and generating synthetic versions of nested categorical data,,JO,PB,Bayesian Analysis,2007,3,13,1,
